card_id,opponent,sa-pow,bcd-pt,sa-tec
001,Kaiba,8,0,24
002,Simon Muran,27,0,0
002,Heishin,22,26,1
002,Mai Valentine,32,0,0
002,Bandit Keith,29,0,0
002,Yami Bakura,30,0,0
002,Pegasus,15,0,0
002,High Mage Secmeton,18,33,0
002,High Mage Atenza,24,30,1
002,Meadow Mage,20,50,46
002,Seto 2nd,40,40,0
002,Guardian Sebek,26,26,24
002,Heishin 2nd,10,20,1
003,Weevil Underwood,10,32,0
003,Pegasus,34,44,0
003,Kaiba,110,174,0
003,High Mage Anubisius,24,24,1
003,High Mage Martis,0,12,12
003,High Mage Kepura,60,80,0
003,Darknite,22,26,0
004,Jono,20,0,0
004,Villager3,14,18,15
004,Pegasus,34,40,32
004,Isis,30,64,56
004,Kaiba,70,98,0
004,Jono 2nd,22,23,52
004,Montain Mage,24,0,0
004,High Mage Martis,12,12,12
004,High Mage Kepura,30,40,56
004,Darknite,22,26,0
004,Nitemare,1,48,0
004,Duel Master K,14,18,0
005,Rex Raptor,18,19,18
005,Bandit Keith,0,0,70
005,Shadi,10,12,10
005,Kaiba,120,174,0
005,Mage Soldier,14,26,0
005,Ocean Mage,12,12,1
005,Desert Mage,18,18,16
005,High Mage Martis,26,26,25
005,High Mage Kepura,60,80,0
006,Mai Valentine,24,40,0
006,Mage Soldier,6,52,0
006,High Mage Atenza,24,15,0
006,High Mage Martis,0,12,12
006,Meadow Mage,44,50,46
006,Seto 2nd,32,40,0
006,Guardian Neku,44,46,0
006,Seto 3rd,50,32,16
007,Seto,8,0,0
007,Mai Valentine,30,0,0
007,Shadi,6,0,0
007,Mage Soldier,6,0,0
007,Montain Mage,24,0,0
007,High Mage Atenza,0,0,20
008,Seto,270,47,6
008,Rex Raptor,0,19,18
008,Weevil Underwood,10,32,0
008,Shadi,12,20,12
008,Ocean Mage,12,12,1
008,Forest Mage,2,42,40
008,High Mage Anubisius,24,24,1
008,Desert Mage,18,18,16
009,Simon Muran,90,98,0
009,Villager1,44,76,60
009,Villager2,15,26,25
009,Villager3,14,18,15
009,Bandit Keith,28,40,1
009,Montain Mage,24,72,56
009,Meadow Mage,120,158,150
009,Duel Master K,14,18,0
010,Simon Muran,30,0,0
010,Villager2,15,0,0
010,Weevil Underwood,10,32,0
010,Pegasus,34,44,0
010,Isis,34,64,0
010,Kaiba,60,86,0
010,High Mage Anubisius,24,24,1
010,Meadow Mage,46,50,46
010,High Mage Kepura,30,40,60
010,Labyrinth Mage,16,16,14
010,Seto 2nd,32,40,0
010,Darknite,22,26,1
010,Nitemare,1,48,0
011,Rex Raptor,18,0,6
011,Desert Mage,80,0,0
011,Labyrinth Mage,16,0,0
011,Seto 3rd,0,6,0
011,Darknite,26,24,0
011,Nitemare,32,0,0
012,Jono,0,20,0
012,Isis,0,0,8
012,Jono 2nd,24,0,0
012,High Mage Secmeton,24,0,0
012,High Mage Kepura,36,40,0
012,Seto 2nd,16,20,1
012,Darknite,0,6,0
012,Nitemare,32,0,0
013,Weevil Underwood,26,0,0
013,Mai Valentine,102,120,10
013,Pegasus,34,0,0
013,Mage Soldier,20,28,0
013,Jono 2nd,0,6,0
013,Teana 2nd,8,8,6
013,High Mage Anubisius,24,30,1
013,High Mage Atenza,68,90,1
013,Guardian Neku,22,26,0
013,Darknite,22,26,1
014,Simon Muran,6,0,0
014,Villager2,0,12,0
014,Kaiba,0,0,20
014,Jono 2nd,24,0,0
014,High Mage Secmeton,24,42,0
014,High Mage Kepura,0,6,0
014,Guardian Sebek,24,32,28
014,Guardian Neku,0,6,0
014,Darknite,22,26,1
015,Jono,16,0,0
015,Mage Soldier,0,0,18
015,Jono 2nd,24,0,0
015,High Mage Secmeton,24,0,0
015,High Mage Kepura,36,40,0
015,Seto 2nd,16,20,1
