card_id,card_name,atk,dfd,guardian_star1,guardian_star2,type,starchips,password
001,Blue-eyes White Dragon,3000,2500,Sun,Mars,Dragon,14500,89631139
002,Mystical Elf,800,2000,Sun,Jupiter,Spellcaster,160,15025844
003,Hitotsu-me Giant,1200,1000,Moon,Mars,BeastWarrior,70,76184692
004,Baby Dragon,1200,700,Uranus,Sun,Dragon,200,88819587
005,Ryu-kishin,1000,500,Saturn,Sun,Fiend,30,15303296
006,Feral Imp,1300,1400,Moon,Jupiter,Fiend,140,41392891
007,Winged Dragon #1,1400,1200,Saturn,Moon,Dragon,7000,87796900
008,Mushroom Man,800,600,Jupiter,Sun,Plant,30,14181608
009,Shadow Specter,500,200,Moon,Saturn,Zombie,16,40575313
010,Blackland Fire Dragon,1500,800,Mercury,Moon,Dragon,80,87564352
011,Sword Arm of Dragon,1750,2030,Uranus,Moon,Dinosaur,1000,13069066
012,Swamp Battleguard,1800,1500,Mercury,Mars,Warrior,290,40453765
013,Tyhone,1200,1400,Saturn,Venus,WingedBeast,120,72842870
014,Battle Steer,1800,1300,Moon,Uranus,BeastWarrior,230,18246479
015,Flame Swordsman,1800,1600,Mars,Sun,Warrior,320,45231177
016,Time Wizard,500,400,Venus,Sun,Spellcaster,150,71625222
017,Right Leg of the Forbidden One,200,300,Mercury,Jupiter,Spellcaster,7000,8124921
018,Left Leg of the Forbidden One,200,300,Mercury,Saturn,Spellcaster,7000,44519536
019,Right Arm of the Forbidden One,200,300,Mercury,Uranus,Spellcaster,200,70903634
020,Left Arm of the Forbidden One,200,300,Mercury,Pluto,Spellcaster,2000,7902349
021,Exodia the Forbidden,1000,1000,Mercury,Neptune,Spellcaster,30000,33396948
022,Summoned Skull,2500,1200,Moon,Pluto,Fiend,9000,70781052
023,The Wicked Worm Beast,1400,700,Uranus,Venus,Beast,60,6285791
024,Skull Servant,300,200,Moon,Neptune,Zombie,10,32274490
025,Horn Imp,1300,1000,Moon,Mercury,Fiend,80,69669405
026,Battle Ox,1700,1000,Jupiter,Moon,BeastWarrior,500,5053103
027,Beaver Warrior,1200,1500,Jupiter,Venus,BeastWarrior,140,32452818
028,Rock Ogre Grotto #1,800,1200,Uranus,Mercury,Rock,1000,68846917
029,Mountain Warrior,600,1000,Uranus,Mars,BeastWarrior,36,4931562
030,Zombie Warrior,1200,900,Moon,Mars,Zombie,60,31339260
031,Koumori Dragon,1500,1200,Moon,Jupiter,Dragon,140,67724379
032,Two-headed King Rex,1600,1200,Uranus,Neptune,Dinosaur,160,94119974
033,Judge Man,2200,1500,Sun,Saturn,Warrior,1000,30113682
034,Saggi the Dark Clown,600,1500,Mercury,Moon,Spellcaster,60,66602787
035,Dark Magician,2500,2100,Mercury,Mars,Spellcaster,2500,46986414
036,The Snake Hair,1500,1200,Moon,Saturn,Zombie,140,29491031
037,Gaia the Dragon Champion,2600,2100,Saturn,Mercury,Dragon,11600,66889139
038,Gaia the Fierce Knight,2300,2100,Mercury,Jupiter,Warrior,6000,6368038
039,Curse of Dragon,2000,1500,Saturn,Pluto,Dragon,5000,28279543
040,Dragon Piper,200,1800,Mars,Moon,Pyro,55,55763552
041,Celtic Guardian,1400,1200,Sun,Uranus,Warrior,120,91152256
042,Illusionist Faceless Mage,1200,2200,Venus,Mars,Spellcaster,320,28546905
043,Karbonala Warrior,1500,1200,Uranus,Jupiter,Warrior,140,54541900
044,Rogue Doll,1600,1000,Sun,Pluto,Spellcaster,120,91939608
045,Oscillo Hero #2,1000,500,Pluto,Sun,Thunder,30,27324313
046,Griffore,1200,1500,Jupiter,Mercury,Beast,140,53829412
047,Torike,1200,600,Uranus,Sun,Beast,46,80813021
048,Sangan,1000,600,Moon,Uranus,Fiend,36,26202165
049,Big Insect,1200,1500,Jupiter,Uranus,Insect,140,53606874
050,Basic Insect,500,700,Jupiter,Pluto,Insect,25,89091579
051,Armored Lizard,1500,1200,Neptune,Sun,Reptile,2200,15480588
052,Hercules Beetle,1500,2000,Jupiter,Neptune,Insect,2000,52584282
053,Killer Needle,1200,1000,Jupiter,Sun,Insect,70,88979991
054,Gokibore,1200,1400,Jupiter,Moon,Insect,300,15367030
055,Giant Flea,1500,1200,Jupiter,Venus,Insect,140,41762634
056,Larvae Moth,500,400,Jupiter,Mercury,Insect,2000,87756343
057,Great Moth,2600,2500,Jupiter,Uranus,Insect,9000,14141448
058,Kuriboh,300,200,Mercury,Saturn,Fiend,10,40640057
059,Mammoth Graveyard,1200,800,Mercury,Pluto,Dinosaur,56,40374923
060,Great White,1600,800,Neptune,Moon,Fish,1600,13429800
061,Wolf,1200,800,Jupiter,Pluto,Beast,56,49417509
062,Harpie Lady,1300,1400,Saturn,Neptune,WingedBeast,2500,76812113
063,Harpie Lady Sisters,1950,2100,Saturn,Mars,WingedBeast,3270,12206212
064,Tiger Axe,1300,1100,Jupiter,Neptune,BeastWarrior,2700,49791927
065,Silver Fang,1200,800,Jupiter,Sun,Beast,55,90357090
066,Kojikocy,1500,1200,Uranus,Moon,Warrior,140,1184620
067,Perfectly Ultimate Great Moth,3500,3000,Jupiter,Moon,Insect,33500,48579379
068,Garoozis,1800,1500,Mars,Venus,BeastWarrior,290,14977074
069,Thousand Dragon,2400,2000,Mars,Mercury,Dragon,7000,41462083
070,Fiend Kraken,1200,1400,Neptune,Venus,Aqua,120,77456781
071,Jellyfish,1200,1500,Neptune,Mercury,Aqua,140,14851496
072,Cocoon of Evolution,0,2000,Jupiter,Venus,Insect,4200,40240595
073,Kairyu-shin,1800,1500,Neptune,Mars,SeaSerpent,290,76634149
074,Giant Soldier of Stone,1300,2000,Uranus,Venus,Rock,290,13039848
075,Man-eating Plant,800,600,Mercury,Jupiter,Plant,30,49127943
076,Krokodilus,1100,1200,Neptune,Jupiter,Reptile,80,76512652
077,Grappler,1300,1200,Neptune,Saturn,Reptile,100,2906250
078,Axe Raider,1700,1150,Uranus,Mercury,Warrior,160,48305365
079,Megazowler,1800,2000,Uranus,Neptune,Dinosaur,500,75390004
080,Uraby,1500,800,Uranus,Mars,Dinosaur,80,1784619
081,Crawling Dragon #2,1600,1200,Moon,Pluto,Dinosaur,160,38289717
082,Red-eyes B. Dragon,2400,2000,Moon,Neptune,Dragon,6500,74677422
083,Castle of Dark Illusions,920,1930,Mercury,Uranus,Fiend,160,62121
084,Reaper of the Cards,1380,1930,Moon,Pluto,Fiend,290,33066139
085,King of Yamimakai,2000,1530,Moon,Pluto,Fiend,350,69455834
086,Barox,1380,1530,Jupiter,Mercury,Fiend,180,6840573
087,Dark Chimera,1610,1460,Mercury,Neptune,Fiend,200,32344688
088,Metal Guardian,1150,2150,Moon,Mercury,Fiend,290,68339286
089,Catapult Turtle,1000,2000,Neptune,Sun,Aqua,200,95727991
090,Gyakutenno Megami,1800,2000,Sun,Neptune,Fairy,500,31122090
091,Mystic Horseman,1300,1550,Jupiter,Uranus,Beast,1000,68516705
092,Rabid Horseman,2000,1700,Jupiter,Pluto,BeastWarrior,3000,94905343
093,Zanki,1500,1700,Uranus,Jupiter,Warrior,260,30090452
094,Crawling Dragon,1600,1400,Uranus,Sun,Dragon,200,67494157
095,Crass Clown,1350,1400,Venus,Jupiter,Fiend,140,93889755
096,Armored Zombie,1500,0,Moon,Pluto,Zombie,260,20277860
097,Dragon Zombie,1600,0,Moon,Pluto,Zombie,200,66672569
098,Clown Zombie,1350,0,Moon,Pluto,Zombie,140,92667214
099,Pumpking the King of Ghosts,1800,2000,Jupiter,Neptune,Zombie,500,29155212
100,Battle Warrior,700,1000,Uranus,Moon,Warrior,40,55550921
101,Wings of Wicked Flame,700,600,Mars,Saturn,Pyro,30,92944626
102,Mask of Darkness,900,400,Mercury,Moon,Fiend,30,28933734
103,Job-change Mirror,800,1300,Mercury,Mars,Fiend,1500,55337339
104,Curtain of the Dark Ones,600,500,Mercury,Jupiter,Spellcaster,25,22026707
105,Tomozaurus,500,400,Uranus,Venus,Dinosaur,20,46457856
106,Spirit of the Winds,1700,1400,Saturn,Sun,Spellcaster,230,54615781
107,Kageningen,800,600,Moon,Mars,Warrior,30,80600490
108,Graveyard and the Hand of Invitation,700,900,Moon,Pluto,Zombie,35,27094595
109,Goddess with the Third Eye,1200,1000,Sun,Venus,Fairy,70,53493204
110,Hero of the East,1100,1000,Uranus,Mercury,Warrior,60,89987208
111,Doma The Angel of Silence,1600,1400,Mercury,Saturn,Fairy,200,16972957
112,That Wich Feeds on Life,1200,1000,Mercury,Uranus,Fiend,70,52367652
113,Dark Gray,800,900,Jupiter,Moon,Beast,40,9159938
114,White Magical Hat,1000,700,Sun,Mars,Spellcaster,40,15150365
115,Kamion Wizard,1300,1100,Mercury,Pluto,Spellcaster,120,41544074
116,Nightmare Scorpion,900,800,Uranus,Neptune,Insect,40,88643173
117,Spirit of the Books,1400,1200,Saturn,Moon,WingedBeast,120,14037717
118,Shadows Supporter,1000,1000,Jupiter,Venus,Warrior,55,41422426
119,Trial of Nightmares,1300,900,Moon,Pluto,Fiend,70,77827521
120,Dream Clown,1200,900,Venus,Saturn,Warrior,60,13215230
121,Sleeping Lion,700,1700,Jupiter,Sun,Beast,120,40200834
122,Yamatano Dragon Scroll,900,300,Saturn,Venus,Dragon,25,76704943
123,Dark Plant,300,400,Moon,Jupiter,Plant,15,13193642
124,Ancient Tool,1700,1400,Moon,Saturn,Machine,230,49587396
125,Faith Bird,1500,1100,Sun,Jupiter,WingedBeast,120,75582395
126,Orion the Battle King,1800,1500,Sun,Saturn,Fairy,290,2971090
127,Ansatsu,1700,1200,Mercury,Neptune,Warrior,180,48365709
128,LaMoon,1200,1700,Sun,Uranus,Spellcaster,180,75850803
129,Nemuriko,800,700,Mercury,Moon,Spellcaster,30,90963488
130,Weather Control,600,400,Sun,Pluto,Fairy,20,37243151
131,Octoberser,1600,1400,Neptune,Moon,Aqua,200,74637266
132,The 13th Grave,1200,900,Moon,Pluto,Zombie,60,32864
133,Charubin the Fire Knight,1100,800,Mars,Uranus,Pyro,50,37421579
134,Mystical Capture Chain,700,700,Sun,Neptune,Fairy,30,63515678
135,Fiend's Hand,600,600,Moon,Pluto,Zombie,25,52800428
